Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
02/01/2025 09:30:36,TV-25,,Entry short,in,1,21763.5,25,0.00,0.00,-90.50,0.00,Short
02/06/2025 16:00:36,TV-26,,Exit long,out,1,21767.25,26,0.00,0.00,107.00,11061.50,TP/SL
02/06/2025 15:45:36,TV-26,,Entry long,in,1,21713.75,26,0.00,0.00,107.00,0.00,Long
02/07/2025 07:00:36,TV-27,,Exit short,out,1,21724.75,27,0.00,0.00,64.00,11125.50,TP/SL
02/07/2025 06:30:36,TV-27,,Entry short,in,1,21756.75,27,0.00,0.00,64.00,0.00,Short
02/10/2025 18:15:36,TV-28,,Exit short,out,1,21464.75,28,0.00,0.00,210.50,11336.00,TP/SL
02/08/2025 15:30:36,TV-28,,Entry short,in,1,21570,28,0.00,0.00,210.50,0.00,Short
02/12/2025 09:00:36,TV-29,,Exit short,out,1,21684.75,29,0.00,0.00,65.50,11401.50,TP/SL
02/12/2025 08:45:36,TV-29,,Entry short,in,1,21717.5,29,0.00,0.00,65.50,0.00,Short
02/14/2025 13:30:36,TV-30,,Exit short,out,1,21932.75,30,0.00,0.00,143.50,11545.00,TP/SL
02/14/2025 11:45:36,TV-30,,Entry short,in,1,22004.5,30,0.00,0.00,143.50,0.00,Short
02/15/2025 07:00:36,TV-31,,Exit short,out,1,22046,31,0.00,0.00,62.50,11607.50,TP/SL
02/15/2025 06:30:36,TV-31,,Entry short,in,1,22077.25,31,0.00,0.00,62.50,0.00,Short
02/15/2025 13:15:36,TV-32,,Exit long,out,1,22164,32,0.00,0.00,96.50,11704.00,TP/SL
02/15/2025 11:30:36,TV-32,,Entry long,in,1,22115.75,32,0.00,0.00,96.50,0.00,Long
02/19/2025 14:15:36,TV-33,,Exit short,out,1,22128.5,33,0.00,0.00,107.00,11811.00,TP/SL
02/19/2025 12:00:36,TV-33,,Entry short,in,1,22182,33,0.00,0.00,107.00,0.00,Short
02/20/2025 15:30:36,TV-34,,Exit short,out,1,22216,34,0.00,0.00,102.00,11913.00,TP/SL
02/20/2025 15:30:36,TV-34,,Entry short,in,1,22267,34,0.00,0.00,102.00,0.00,Short
02/25/2025 09:00:36,TV-35,,Exit long,out,1,21801,35,0.00,0.00,76.50,11989.50,TP/SL
